2019-04-01 18:47:07 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:47:07 status unpacked libudev1:amd64 229-4ubuntu21.16
2019-04-01 18:47:07 status half-configured libudev1:amd64 229-4ubuntu21.16
2019-04-01 18:47:07 status installed libudev1:amd64 229-4ubuntu21.16
2019-04-01 18:47:07 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2019-04-01 18:47:07 status half-configured libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:47:07 status installed libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:47:07 startup archives unpack
2019-04-01 18:47:07 upgrade file:amd64 1:5.25-2ubuntu1.1 1:5.25-2ubuntu1.2
2019-04-01 18:47:07 status half-configured file:amd64 1:5.25-2ubuntu1.1
2019-04-01 18:47:07 status unpacked file:amd64 1:5.25-2ubuntu1.1
2019-04-01 18:47:07 status half-installed file:amd64 1:5.25-2ubuntu1.1
2019-04-01 18:47:07 status half-installed file:amd64 1:5.25-2ubuntu1.1
2019-04-01 18:47:07 status unpacked file:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:07 status unpacked file:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:08 upgrade libmagic1:amd64 1:5.25-2ubuntu1.1 1:5.25-2ubuntu1.2
2019-04-01 18:47:08 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:47:08 status half-configured libmagic1:amd64 1:5.25-2ubuntu1.1
2019-04-01 18:47:08 status unpacked libmagic1:amd64 1:5.25-2ubuntu1.1
2019-04-01 18:47:08 status half-installed libmagic1:amd64 1:5.25-2ubuntu1.1
2019-04-01 18:47:08 status half-installed libmagic1:amd64 1:5.25-2ubuntu1.1
2019-04-01 18:47:08 status unpacked libmagic1:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:08 status unpacked libmagic1:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:08 upgrade libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:08 status half-configured libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11
2019-04-01 18:47:08 status unpacked libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11
